fixed_count,version3_1,version3_2,version3_3,version4_1,version4_2,version4_3,is_equal
979,3916,6366,10084,2484,4218,4684,True
0,0,0,0,0,0,0,True
2043,5821,7582,11549,3756,5003,5987,True
1826,5728,7866,11892,2864,3964,3964,True
2451,4899,5495,9136,3305,3901,5172,True
2990,8982,10978,14705,5744,6657,6911,True
1584,5390,8820,15042,3494,6138,6565,True
0,0,0,0,0,0,0,True
2474,7942,10978,16446,5221,7191,8872,True
1715,9162,14270,20542,6108,9306,11276,True
2116,4173,4173,6288,2735,2735,3412,True
5119,12192,14149,21244,7657,8886,9240,True
0,0,0,0,0,0,0,True
3391,15350,23545,34783,10005,15174,16587,True
1276,2684,2684,3622,1746,1746,1746,True
1659,5468,6543,8202,2734,2734,2734,True
2924,6007,6007,8669,3745,3745,4145,True
1415,3812,4794,7191,1906,2397,1906,True
6959,17326,20764,31131,11541,13825,14393,True
2997,5574,5574,8151,3566,3566,4135,True
2453,4682,4682,7135,2970,2970,3711,True
2044,5718,7834,12125,3549,4816,4064,True
0,0,0,0,0,0,0,True
965,1970,1970,2885,1225,1225,1395,True
2126,5113,6033,9020,3058,3599,3514,True
2557,8029,9632,12045,4912,5271,5811,True
685,2648,3939,5928,1660,2458,1978,True
5531,16112,20986,31315,9638,12553,11094,True
3885,7770,7770,11655,3885,3885,3885,True
0,0,0,0,0,0,0,True
1752,3673,5796,10588,2317,4440,4876,True
1804,6887,10773,17259,4362,6913,9043,True
2383,7698,10515,15448,4524,6188,4785,True
3030,9695,13407,20072,5829,7685,5829,True
1598,9006,11911,13509,4503,4503,4503,True
5218,11020,14439,25727,6611,9103,10991,True
3672,10610,11944,15094,7070,7351,8014,True
2286,4644,5432,9342,2951,3739,4830,True
3163,12200,18040,27009,7960,11680,9526,True
2302,4570,4570,6912,2816,2816,3404,True
1271,3478,4502,6818,2159,2807,3342,True
3593,15153,21374,27271,9035,11573,11952,True
2973,9449,13643,20612,6392,9450,10540,True
3639,10131,13117,19609,6672,8603,8108,True
3937,10000,13213,20544,6090,7921,7358,True
2811,9096,11911,17198,5631,7216,8772,True
701,3705,4856,5553,2343,2647,2829,True
2433,9102,13338,20007,6159,9025,7767,True
1097,2194,2593,4488,1097,1496,1496,True
1883,8706,13406,19651,5008,7676,8923,True
1574,4900,6695,10141,2866,3934,4619,True
2083,5606,7733,12443,3268,4546,4456,True
2146,6455,8829,13572,4048,5596,6908,True
2330,7322,9255,12252,4674,5422,6028,True
304,733,803,1087,439,451,499,True
3174,5872,5872,8931,3745,3745,4677,True
562,1119,1119,1676,747,747,932,True
427,777,1329,3272,427,979,1468,True
2370,8514,11283,15417,4257,5139,4257,True
665,2600,4299,7111,1625,2838,3051,True
1502,5004,7004,10506,2502,3502,2502,True
3540,6720,8397,15120,4158,5835,7296,True
1136,7091,11045,15667,4574,6753,8029,True
3938,8455,11593,21399,5127,7492,9193,True
1136,3528,5292,8700,1764,2900,2900,True
225,1613,2189,2407,1053,1223,1287,True
0,0,0,0,0,0,0,True
2869,9260,12782,19173,4630,6391,4630,True
1492,2899,2899,4302,1897,1897,2298,True
4764,14005,18871,28240,8621,11078,11874,True
3593,10870,14700,21783,6489,8364,8617,True
1602,7444,10940,15294,3722,5098,3722,True
1518,5158,7385,11089,3388,4877,5665,True
1458,7024,11079,16640,4623,7252,7273,True
1990,6263,7656,10172,3787,4312,4408,True
1841,7683,10472,14093,5033,6453,7127,True
2839,11382,14785,18501,7355,8614,9571,True
971,1890,2771,5686,1243,2124,3150,True
2131,5228,7626,12673,3390,5409,6081,True
0,0,0,0,0,0,0,True
2737,4559,4559,6381,2737,2737,2737,True
2791,4775,4775,7533,2791,2791,3565,True
1897,6360,8059,10910,3971,4767,5130,True
2092,5890,8244,13106,3475,4868,5490,True
3267,7225,7819,11086,4617,4809,5870,True
